0,	0,	0.0,	0.0
1.5150001049,	0.24028646946,	1.3855249702,	0.300699550247
1.5150001049,	0.24028646946,	1.36613156556,	0.155819719769
1.5150001049,	0.24028646946,	1.40527681021,	0.275169118004
1.51800012589,	0.240762278438,	1.75936069947,	0.355831469744
1.5150001049,	0.24028646946,	1.33083991552,	0.255168931048
1.5150001049,	0.24028646946,	1.5098181545,	0.343946972301
1.5150001049,	0.24028646946,	1.61933903054,	0.251697008052
1.51100003719,	0.239652037621,	1.79683701499,	0.172330445809
1.5150001049,	0.24028646946,	1.37353932372,	0.142810822005
1.5150001049,	0.24028646946,	1.74751174663,	0.174997060389
1.5150001049,	0.24028646946,	1.67876924479,	0.316033392129
1.5150001049,	0.238631397486,	1.75935320685,	0.249211629582
1.5150001049,	0.238631397486,	1.49500555423,	0.300075377672
1.5150001049,	0.238631397486,	1.61260052773,	0.162576173004
1.51800012589,	0.239103928208,	1.4096480359,	0.235371286841
1.51100003719,	0.238001331687,	1.48574065448,	0.283512223847
1.51800012589,	0.240762278438,	1.5305876282,	0.130824630249
1.51100003719,	0.239652037621,	1.49736244224,	0.362600001973
1.51800012589,	0.240762278438,	1.29827989509,	0.177522036036
1.5150001049,	0.241941541433,	1.38035060645,	0.290067759185
1.5150001049,	0.241941541433,	1.43706630164,	0.284093235108
1.51800012589,	0.240762278438,	1.43216260469,	0.253416638349
1.51800012589,	0.242420628667,	1.63993671958,	0.181139427122
1.51800012589,	0.242420628667,	1.29910387318,	0.276928702923
1.5150001049,	0.241941541433,	1.51563651733,	0.279022048699
1.51800012589,	0.240762278438,	1.65394352753,	0.272551453392
1.51800012589,	0.242420628667,	1.57634447165,	0.235892051622
1.51800012589,	0.240762278438,	1.34284281483,	0.219236815689
1.5150001049,	0.24028646946,	1.73653352097,	0.160549695983
1.5150001049,	0.241941541433,	1.41208608805,	0.163011748075
1.51800012589,	0.242420628667,	1.45240258119,	0.268597604823
1.51800012589,	0.242420628667,	1.35702973121,	0.237179448837
1.5150001049,	0.241941541433,	1.57656320523,	0.301288181327
1.5150001049,	0.241941541433,	1.55584456341,	0.375907279387
1.5150001049,	0.241941541433,	1.60701248034,	0.298875176821
1.5150001049,	0.24028646946,	1.55980504569,	0.225346799455
1.5150001049,	0.24028646946,	1.39892434843,	0.236900426274
1.51100003719,	0.239652037621,	1.53144702314,	0.223902522724
1.5150001049,	0.24028646946,	1.45411128283,	0.307253606467
1.5150001049,	0.24028646946,	1.56619792861,	0.314567816734
1.51100003719,	0.239652037621,	1.47013885811,	0.257305710705
1.5150001049,	0.24028646946,	1.48857206457,	0.22078809941
1.50800001621,	0.239176228642,	1.53255751391,	0.211239805826
1.5150001049,	0.24028646946,	1.70491317962,	0.220071161471
1.50800001621,	0.239176228642,	1.36666651828,	0.237686055014
1.51100003719,	0.239652037621,	1.70970326752,	0.25219199817
1.5150001049,	0.24028646946,	1.43583758067,	0.250616017757
1.51100003719,	0.239652037621,	1.51181994972,	0.224040609842
1.5150001049,	0.24028646946,	1.55753378638,	0.210552567023
1.5150001049,	0.241941541433,	1.54331967372,	0.166977844067
1.5150001049,	0.24028646946,	1.79233840068,	0.217130265119
1.52100002766,	0.241238087416,	1.68757264042,	0.279620588772
1.54600012302,	0.233380630612,	1.61028087096,	0.177657709333
1.31200003624,	0.192323327065,	1.27093261749,	0.148749257908
1.00200009346,	0.133745357394,	0.848231807488,	0.142202219519
0.659000039101,	0.0606049485505,	0.465868597908,	0.0766522270348
0.479000031948,	0.0116074467078,	0.382719960895,	0.00669000047887
0.495000034571,	0.0228104982525,	0.59723067627,	0.0843271917709
0.596000015736,	0.055462256074,	0.562832077483,	-0.00129640355799
0.458000034094,	0.0246078893542,	0.407684598874,	0.0328328463381
0.299000024796,	-0.0139863425866,	0.252286117141,	-0.101620813355
0.618000030518,	0.0500829964876,	0.687523981079,	0.0705912164524
1.2990000248,	0.177645757794,	1.39873323552,	0.120335664767
1.37600004673,	0.195692047477,	1.53835049117,	0.220127532091
0.513000011444,	0.0298047065735,	0.540032441917,	0.0478564536231
0.860000014305,	0.097880192101,	0.698148125986,	0.0621522884934
1.59700012207,	0.242824137211,	1.79877455389,	0.196090228872
1.58900010586,	0.241607740521,	1.78063930492,	0.304730300475
1.58900010586,	0.241607740521,	1.78818118218,	0.148850643985
1.58900010586,	0.241607740521,	1.45278834664,	0.11860258622
1.59300005436,	0.236995086074,	1.74340628468,	0.319625433889
1.39300000668,	0.195066168904,	1.20199832852,	0.274473314106
0.869000017643,	0.0951071307063,	0.821881887943,	0.225087646683
0.827000021935,	0.076055072248,	0.874174540431,	0.125007379748
0.759000062943,	0.0731181576848,	0.795910713336,	0.0474997864481
0.419000029564,	0.00374513119459,	0.380507395029,	0.086922763831
0.347000002861,	-0.0109244845808,	0.368342655474,	-0.0106138406577
0.678000032902,	0.0327248424292,	0.753916183659,	0.123104797342
1.10199999809,	0.118199892342,	0.984550886365,	0.147454564263
1.10000002384,	0.149229645729,	1.08740754084,	0.0897460683158
1.09800004959,	0.148958325386,	1.07871072857,	0.188227934514
1.09800004959,	0.148958325386,	1.09568537749,	0.190785742128
1.09800004959,	0.142960742116,	1.10234247935,	0.0418612120489
